הקרן הקיימת 14  ירושלים ישראל,1,ירושלים,3000,161.2,גמנסיה רחביה,כ, ,אות ראשונה בשם משפחה,מ,,31.7768072,35.2144996
הקרן הקיימת 14  ירושלים ישראל,1,ירושלים,3000,162,גמנסיה רחביה, , ,,,,31.7768072,35.2144996
אוסישקין 38  ירושלים ישראל,1,ירושלים,3000,165,אוולינה דה רוטשילד תיכון ה', , ,,,,31.7783,35.212431
אוסישקין 38  ירושלים ישראל,1,ירושלים,3000,171,אוולינה דה רוטשילד תיכון ה', , ,,,,31.7783,35.212431
אוסישקין 38  ירושלים ישראל,1,ירושלים,3000,172,אוולינה דה רוטשילד תיכון ה', , ,,,,31.7783,35.212431
אוסישקין 38  ירושלים ישראל,1,ירושלים,3000,186,אוולינה דה רוטשילד תיכון ה', , ,,,,31.7783,35.212431
לוד 20  ירושלים ישראל,1,ירושלים,3000,188,"בי""ס לדוגמא ע""ש הרב עוזיאל", , ,,,,31.7798795,35.2099974
לוד 20  ירושלים ישראל,1,ירושלים,3000,191,"בי""ס לדוגמא ע""ש הרב עוזיאל", , ,,,,31.7798795,35.2099974
לוד 20  ירושלים ישראל,1,ירושלים,3000,192,"בי""ס לדוגמא ע""ש הרב עוזיאל", , ,,,,31.7798795,35.2099974
נרקיס 11  ירושלים ישראל,1,ירושלים,3000,193.1,מרכז פדגוגי להוראה,כ,כ,אות ראשונה בשם משפחה,א,,31.7790837,35.2128209
נרקיס 11  ירושלים ישראל,1,ירושלים,3000,193.2,מרכז פדגוגי להוראה,כ, ,אות ראשונה בשם משפחה,מ,,31.7790837,35.2128209
לוד 20  ירושלים ישראל,1,ירושלים,3000,194,"בי""ס לדוגמא ע""ש הרב עוזיאל", , ,,,,31.7798795,35.2099974
הלל 17  ירושלים ישראל,1,ירושלים,3000,195,"מכללה אקדמית דתית ע""ש ליפשיץ", , ,,,,31.780313,35.2173013
הלל 17  ירושלים ישראל,1,ירושלים,3000,196,"מכללה אקדמית דתית ע""ש ליפשיץ", , ,,,,31.780313,35.2173013
אהל משה 42  ירושלים ישראל,1,ירושלים,3000,198,לב העיר מנהל קהילתי, , ,,,,31.8027198,35.2238394
